department,promoted,review,projects,salary,tenure,satisfaction,bonus,avg_hrs_month,left
operations,0,0.573464283,3,low,6,0.691948659,0,183.1584143,0
finance,0,0.521701276,4,low,6,0.701564651,1,182.1460607,0
support,0,0.680982471,3,medium,7,0.63535202,0,187.37394,1
operations,0,0.695984516,3,high,7,0.630596457,1,187.2976176,1
sales,0,0.722706756,3,low,8,0.41046131,1,188.7728635,0
engineering,1,0.711545493,3,medium,7,0.242461987,1,185.3174885,1
sales,0,0.703639815,4,medium,5,0.490545224,1,179.6593673,0
engineering,0,0.688017215,4,medium,5,0.569131567,1,181.1493067,0
marketing,0,0.848161873,3,medium,6,0.151643504,0,182.3137299,1
sales,0,0.679240675,4,low,5,0.583290488,1,180.7224644,1
support,0,0.640426507,3,high,6,0.50664636,0,183.2085933,0
engineering,0,0.818395112,4,medium,5,0.432034908,0,181.2200786,0
finance,0,0.577203295,3,medium,6,0.661628735,0,182.3843662,0
retail,0,0.799659568,3,medium,5,0.400379648,0,180.1993514,1
retail,0,0.713358567,3,medium,8,0.481933199,0,188.7165185,0
support,0,0.664045926,4,high,8,0.456677889,0,189.091423,0
marketing,0,0.590681481,3,medium,7,0.334196874,0,187.4553021,0
admin,0,0.643653382,4,medium,9,0.566167359,1,190.5728791,0
engineering,0,0.436014793,3,medium,8,0.528470595,0,187.9300343,0
marketing,0,0.619772323,3,high,5,0.627048085,0,181.3899772,0
operations,0,0.711963275,4,medium,8,0.59908988,1,188.2490931,1
operations,0,0.601031456,3,medium,9,0.365290419,0,192.0295088,0
operations,0,0.737283567,3,medium,8,0.512803342,0,188.4711444,1
engineering,0,0.599684251,2,medium,5,0.778190586,0,178.9461243,0
sales,0,0.763191393,3,medium,8,0.57283117,0,190.1075234,0
IT,0,0.669313757,3,medium,7,0.625790095,0,186.8545302,1
operations,0,0.603589685,4,medium,5,0.658631499,0,180.6123895,0
marketing,0,0.746635361,3,medium,4,0.515418481,0,177.7622642,1
engineering,0,0.799111103,3,medium,5,0.432532361,1,180.7795274,0
sales,0,0.615821371,3,low,7,0.583000444,0,187.1948854,1
operations,0,0.696882671,3,medium,8,0.522422785,0,188.7681151,0
retail,0,0.637657111,3,low,9,0.451864849,0,190.9172986,0
retail,0,0.585008891,3,medium,8,0.570434416,0,190.2553859,0
engineering,0,0.620441196,3,low,6,0.580564157,0,184.091173,0
engineering,0,0.506487009,4,medium,5,0.797531298,1,180.5252321,0
sales,0,0.775212986,4,medium,5,0.504138556,0,180.4746834,0
marketing,0,0.565683889,3,medium,7,0.603333658,0,186.5555263,1
retail,0,0.599024542,3,medium,7,0.559878899,1,186.5737748,0
engineering,0,0.68938696,4,medium,6,0.271413712,0,184.0683541,0
admin,0,0.648837246,4,high,8,0.321059348,0,187.606388,0
retail,0,0.494333524,3,medium,7,0.887881728,0,185.0738097,1
sales,0,0.687969601,4,medium,8,0.576820684,1,188.4418521,1
operations,0,0.590759289,4,medium,6,0.697638769,0,183.6282309,0
operations,0,0.719553278,2,medium,5,0.49789875,1,180.4869228,1
IT,0,0.591570776,3,medium,6,0.656368349,0,182.8291662,0
operations,0,0.713189625,5,medium,6,0.487953494,0,184.4288986,0
operations,0,0.678902005,4,medium,7,0.737363349,0,187.4647003,1
support,0,0.699982609,3,medium,9,0.500525094,0,192.5158878,0
sales,0,0.683095054,3,high,5,0.61960887,0,180.2845358,0
retail,0,0.695803082,3,medium,7,0.448684394,0,185.7984264,0
retail,0,0.645618153,3,medium,7,0.272198272,1,186.5092561,0
engineering,0,0.700329277,4,medium,9,0.494900773,0,191.8747222,0
logistics,0,0.748327531,4,medium,7,0.360563507,0,186.4408377,1
logistics,0,0.644506278,4,low,8,0.364959768,0,189.6094077,0
sales,0,0.562784965,3,medium,6,0.644811038,0,183.8446933,0
marketing,0,0.690179302,3,low,5,0.574046349,1,178.9847595,0
retail,0,0.527958031,3,high,5,0.73027025,0,181.1226788,0
sales,0,0.611092908,4,low,7,0.423431789,1,187.0587284,0
sales,0,0.723005932,4,medium,6,0.428767783,0,184.4281697,0
admin,0,0.471118456,4,low,5,0.887439022,0,180.4437243,0
support,0,0.671993825,3,medium,8,0.428140432,1,188.2230421,0
sales,0,0.671588736,2,high,7,0.764469093,0,186.8978573,1
admin,0,0.559782116,3,medium,6,0.685166184,0,182.7233104,0
sales,0,0.483419576,3,high,8,0.416691927,0,189.3814251,0
engineering,0,0.70118028,3,low,7,0.328066792,0,185.8836923,0
marketing,0,0.701228488,4,medium,6,0.405647024,0,182.7780805,0
sales,0,0.593944775,3,medium,7,0.671527491,1,187.4234788,1
finance,0,0.685556657,3,low,7,0.423882288,0,184.8861445,0
support,0,0.747783215,4,medium,6,0.41030959,1,184.065654,1
sales,0,0.65048691,3,medium,7,0.498214096,0,187.2920176,0
IT,0,0.752036666,3,medium,6,0.35918094,0,183.3180334,1
retail,0,0.569712301,3,medium,6,0.726741856,0,182.7904942,0
retail,0,0.799357682,3,medium,8,0.532739187,0,188.8914096,0
engineering,0,0.689391943,2,medium,9,0.522312541,0,190.7795072,0
IT,0,0.665794229,4,medium,6,0.463271091,0,183.2275233,0
admin,0,0.663384953,4,medium,8,0.475647232,0,187.8398673,0
logistics,0,0.763075987,3,medium,7,0.291126052,0,184.7742447,1
engineering,0,0.731879334,3,medium,8,0.562554063,0,187.8323667,1
marketing,0,0.637701641,3,medium,5,0.632811832,0,181.143344,0
operations,0,0.645476556,3,medium,6,0.232742034,0,184.1429163,0
marketing,0,0.626999363,3,medium,8,0.433102856,1,188.6955075,0
engineering,0,0.612734336,3,medium,6,0.582520439,0,182.1113897,0
engineering,0,0.606201635,3,medium,6,0.595707836,0,182.9653974,0
operations,0,0.782191107,3,medium,6,0.324961826,0,182.8667657,1
retail,0,0.718115338,3,low,6,0.069066492,0,181.8303123,0
support,0,0.727317234,3,medium,4,0.580463286,0,178.0896329,0
retail,0,0.737229207,3,low,6,0.478724145,0,184.1017092,0
engineering,0,0.704222644,2,medium,8,0.415029121,1,189.5206648,1
retail,0,0.657861487,3,medium,7,0.656219854,1,184.762117,0
retail,0,0.648855016,3,medium,4,0.689568135,0,178.4735398,0
sales,0,0.632350018,4,medium,8,0.34006196,0,187.8085936,0
sales,0,0.776020662,3,medium,4,0.505048465,1,176.3779286,1
sales,0,0.605475505,4,low,6,0.602295755,1,183.3004485,0
support,0,0.686919055,3,medium,6,0.611437558,0,183.8059863,0
sales,0,0.600301411,3,low,6,0.657108232,0,182.4265054,1
engineering,0,0.645751955,3,medium,6,0.242470822,0,182.7344336,0
operations,0,0.681036497,3,medium,4,0.558256405,0,177.4474738,0
sales,0,0.844473564,3,medium,5,0.327659949,0,178.7812023,1
sales,0,0.588599004,4,medium,7,0.441815614,0,185.8216139,0
sales,0,0.570274314,4,medium,8,0.472088335,1,188.9472881,0
retail,0,0.665114397,3,medium,7,0.386127429,0,185.9371411,0
support,0,0.666708602,3,low,7,0.347813242,0,184.5819156,0
sales,0,0.561206399,4,low,7,0.701857923,0,186.9068978,1
sales,0,0.692174846,4,medium,5,0.684073182,1,179.3615206,0
retail,0,0.801362594,3,high,4,0.613204943,0,176.4612376,1
admin,0,0.694428044,4,high,8,0.432249379,0,189.0303784,1
finance,0,0.662683599,3,low,6,0.094792704,0,182.5020618,0
retail,0,0.500566344,4,medium,7,0.368729422,0,187.0489809,0
sales,0,0.738649343,3,medium,6,0.313922558,1,183.6618269,0
sales,0,0.58966767,3,medium,7,0.52787892,0,185.89533,0
retail,0,0.864881436,3,low,5,0.38556946,1,179.2514849,1
operations,0,0.699298901,2,medium,4,0.507318479,1,176.152434,0
retail,0,0.826449135,3,medium,5,0.271412983,0,181.3032289,1
sales,0,0.747031812,3,medium,6,0.472466362,0,181.6549158,1
engineering,0,0.692773264,4,medium,4,0.657978167,0,177.4953227,0
support,0,0.550187545,3,low,7,0.626441576,0,187.1131006,1
admin,0,0.593864478,4,medium,8,0.620766493,0,187.5194583,1
sales,0,0.708082901,4,medium,5,0.377687704,0,181.0374059,1
sales,0,0.541879778,3,high,5,0.718751225,0,178.8567223,0
support,0,0.660698336,4,medium,9,0.51038072,1,192.0833825,0
support,0,0.60929811,3,medium,6,0.164090378,0,182.5267201,0
marketing,0,0.729267539,3,low,8,0.534351584,0,189.0488108,1
retail,0,0.521177066,4,medium,7,0.296619137,0,185.4542861,0
retail,1,0.534070353,3,low,7,0.602785567,0,185.0934085,0
engineering,0,0.546651953,4,low,5,0.625989707,1,180.5450804,0
engineering,0,0.666253359,3,low,7,0.428928957,0,185.4335308,0
sales,0,0.722338655,3,medium,5,0.530466769,0,179.6824221,0
retail,0,0.69454169,3,medium,8,0.631520617,0,187.6989047,1
marketing,0,0.677733121,3,medium,7,0.55442971,0,187.2021689,1
engineering,0,0.530885253,3,medium,8,0.300254306,0,189.258725,0
marketing,0,0.699315398,2,medium,4,0.672246094,0,178.477262,0
retail,0,0.530685951,3,medium,7,0.408747552,0,184.8794506,0
engineering,0,0.619118259,4,high,7,0.38323877,0,185.2507281,0
sales,1,0.670618368,3,medium,9,0.427535449,0,190.564116,0
operations,0,0.634318047,4,medium,7,0.600521885,0,185.9453216,0
retail,0,0.797058264,3,low,5,0.345549587,0,178.6541297,0
engineering,0,0.620121149,3,medium,8,0.306850139,0,187.8170345,1
operations,0,0.70500054,3,low,7,0.533914776,0,185.5145059,0
marketing,0,0.720559434,4,medium,6,0.511902739,0,181.7894817,0
marketing,1,0.706242662,3,medium,8,0.387868522,1,189.641536,0
engineering,0,0.537840755,3,medium,8,0.553156161,0,187.6943429,1
retail,0,0.628826553,3,medium,6,0.563184472,0,183.9821576,0
support,0,0.566151243,3,medium,8,0.438364983,1,189.7100229,0
IT,0,0.605580211,4,medium,4,0.708352963,1,177.9143904,0
logistics,0,0.597799179,3,medium,5,0.741482912,0,180.8878801,0
support,0,0.646234026,4,medium,9,0.300923819,1,191.2332503,0
IT,0,0.655758731,3,high,6,0.56514621,0,182.2077211,0
sales,0,0.64245607,3,medium,8,0.468199888,0,188.7568422,1
sales,0,0.607151402,4,high,6,0.255407834,1,182.0259648,0
engineering,0,0.578172,3,high,9,0.478143639,1,192.179695,0
operations,0,0.581561186,4,medium,6,0.692498628,0,182.725073,0
engineering,0,0.753949921,3,low,9,0.440206973,0,190.9682397,0
engineering,0,0.621732567,3,medium,6,0.550327574,0,182.6271953,0
retail,0,0.644403055,4,medium,6,0.689433692,0,182.4913224,0
sales,0,0.631443114,4,medium,5,0.667889016,0,179.6172276,0
support,0,0.837284914,3,low,7,0.382568144,0,185.3130855,0
engineering,0,0.721213675,3,medium,7,0.301470027,0,184.9745466,0
logistics,0,0.680751508,4,medium,5,0.542824729,0,179.8157182,0
finance,0,0.799124928,3,medium,6,0.269769223,0,183.2475917,1
retail,0,0.689387791,3,high,9,0.442878599,0,193.0946324,0
logistics,0,0.514194834,3,medium,8,0.433101472,0,189.8545726,0
IT,0,0.787738944,3,medium,5,0.453617757,0,178.8749652,1
sales,0,0.570028602,3,high,8,0.478627967,0,187.629598,0
operations,0,0.511661995,3,medium,5,0.754289253,0,180.5845709,0
operations,0,0.608883904,3,high,7,0.301801586,0,185.6501212,0
marketing,0,0.700631009,4,medium,6,0.586072106,0,182.4808236,0
support,0,0.510091003,3,high,6,0.680978406,0,182.7509016,0
marketing,0,0.780460159,3,medium,8,0.528670827,0,188.5092083,1
support,0,0.585445459,3,high,4,0.763268829,1,177.9788929,0
engineering,0,0.733443223,3,medium,6,0.579637224,1,182.4991272,0
retail,0,0.562681791,3,high,5,0.730250321,0,181.1427978,0
operations,0,0.452565507,3,medium,7,0.306660592,0,185.1727146,0
engineering,0,0.736577864,3,medium,6,0.414456421,0,181.7930812,1
admin,0,0.7302485,3,high,4,0.537374948,0,175.5150721,0
operations,0,0.660465387,4,medium,7,0.415919484,0,184.6224827,0
engineering,0,0.586855228,3,medium,8,0.445075923,0,187.6381453,0
sales,0,0.595610165,3,high,7,0.336788512,0,187.0040658,1
retail,0,0.700341977,3,high,9,0.471268656,0,191.9264611,0
sales,0,0.544653213,3,medium,5,0.628431211,1,181.2075439,0
operations,0,0.610301468,3,medium,5,0.739038199,0,180.8214819,0
marketing,0,0.703571922,3,medium,4,0.545119867,0,178.1386132,0
marketing,0,0.619650192,3,medium,9,0.47476443,0,191.406716,0
marketing,1,0.685304069,3,medium,5,0.553954477,0,180.2706339,0
marketing,0,0.608382621,3,low,9,0.430944362,1,190.8523928,0
engineering,0,0.63408674,3,medium,5,0.710410095,0,179.1483124,0
retail,0,0.640210437,3,medium,7,0.540077949,0,185.4535295,0
operations,0,0.640757296,4,medium,8,0.459240903,0,188.2399206,1
support,0,0.560913918,4,medium,5,0.654473715,0,180.1890076,0
operations,0,0.716260278,4,low,6,0.486987347,1,182.880211,0
IT,0,0.686506766,3,high,5,0.465903532,0,179.5112928,0
sales,0,0.439658674,2,medium,3,0.031938399,0,175.4241396,0
sales,0,0.848936203,3,medium,3,0.469801729,0,173.8616429,1
marketing,0,0.593801645,4,medium,8,0.546656675,0,187.7337089,0
logistics,0,0.746887346,3,medium,8,0.549048467,0,188.1761642,1
sales,0,0.565093481,2,high,7,0.801829427,0,185.9039958,1
marketing,0,0.58294665,3,low,5,0.699317668,0,180.2351228,0
finance,0,0.787221207,3,medium,5,0.301530731,0,179.8862925,1
sales,0,0.723350294,3,medium,5,0.399544138,0,181.3178288,0
engineering,0,0.608414787,3,high,7,0.29705294,0,185.8289335,0
IT,0,0.774292972,4,medium,8,0.675695182,1,187.5330569,1
operations,0,0.716576449,3,high,6,0.544296155,0,182.3182331,0
engineering,0,0.649038159,4,low,8,0.546541705,1,187.8122167,1
finance,0,0.677541862,3,medium,7,0.531421909,1,187.1555372,0
engineering,0,0.607482996,3,medium,6,0.566192032,1,183.4001773,0
retail,0,0.499613732,3,medium,7,0.474552266,0,187.454736,1
operations,0,0.716516959,3,medium,8,0.537018112,0,188.4274319,1
retail,0,0.741482911,3,medium,5,0.378847644,0,179.6081924,1
sales,0,0.664579302,3,low,5,0.689562524,0,179.9394306,0
admin,0,0.536302295,2,medium,7,0.61306893,1,186.1251313,0
engineering,0,0.577268539,3,medium,7,0.632977533,0,187.3544163,1
engineering,0,0.743999009,3,high,9,0.456557644,0,191.5827142,0
marketing,0,0.661869264,3,medium,7,0.227726644,0,185.2741216,0
sales,0,0.73632588,4,medium,8,0.631108955,0,187.9890087,1
operations,0,0.656008171,4,medium,5,0.178175759,1,180.6425079,0
logistics,0,0.755074492,3,low,6,0.427295922,0,183.4297763,0
retail,0,0.797159994,4,medium,6,0.254561495,1,182.5462139,1
sales,0,0.836415187,3,medium,4,0.328841997,0,177.7235853,1
engineering,0,0.527949781,3,high,5,0.736150872,0,180.2601842,0
admin,0,0.575325294,4,high,5,0.669072356,1,181.4789682,0
operations,0,0.637700025,3,medium,7,0.435009588,0,184.5128309,0
admin,0,0.764926879,4,high,6,0.395979751,0,181.932764,0
operations,0,0.715600992,3,medium,5,0.516874784,0,179.8530141,0
admin,0,0.675169401,2,medium,9,0.426834163,0,190.5785954,0
engineering,0,0.699722501,3,medium,8,0.669681517,0,187.860786,1
sales,0,0.579416152,3,medium,7,0.642005921,0,184.6612974,0
sales,0,0.720137276,3,medium,8,0.403729569,0,188.2692056,0
sales,0,0.496597777,4,medium,7,0.750174698,0,185.9324055,1
sales,0,0.696818894,3,low,8,0.408875443,0,187.8147575,0
marketing,0,0.785298954,3,high,5,0.121512433,0,178.57822,0
IT,0,0.700221873,3,medium,7,0.501973461,0,186.8600599,0
engineering,0,0.634486119,3,medium,7,0.627507209,0,187.4108481,1
sales,0,0.583938929,3,high,6,0.609234831,1,182.8794605,0
retail,0,0.496647797,4,medium,7,0.791945576,0,186.2319293,1
operations,0,0.75268265,4,high,8,0.50303515,1,188.691774,1
admin,0,0.680782008,4,high,6,0.553606092,0,182.5556578,1
operations,0,0.665006955,3,medium,4,0.514098064,0,178.1546394,0
finance,0,0.616169882,3,high,7,0.480478044,1,187.48706,1
engineering,0,0.576486001,4,medium,5,0.688085214,0,180.6604475,0
retail,0,0.713585899,3,high,8,0.328126444,0,188.6210362,0
sales,0,0.762672791,4,medium,6,0.302567387,0,182.9081008,1
operations,0,0.781347814,3,medium,5,0.469818304,1,179.1451922,0
retail,0,0.594789772,4,medium,8,0.55027832,1,187.7649293,1
IT,0,0.693206351,3,medium,8,0.226938313,0,188.0476641,0
sales,1,0.680183248,3,low,8,0.560726984,0,188.5070364,1
marketing,0,0.437154007,4,medium,6,0.288430008,1,182.1403124,0
retail,0,0.797358547,3,high,8,0.643199868,0,188.2735657,1
support,0,0.60915547,3,high,9,0.490330527,0,192.560892,0
IT,0,0.587011941,3,medium,10,0.413084829,1,194.0280899,0
engineering,0,0.738792021,3,medium,5,0.513891792,0,180.7298118,1
support,0,0.610205876,3,medium,6,0.483672852,0,181.9342299,0
retail,0,0.683797463,4,medium,6,0.153121301,0,182.7971168,0
engineering,0,0.870118475,3,low,6,0.258554072,0,181.9464966,1
sales,0,0.646907057,3,medium,10,0.624720458,0,194.122231,0
engineering,0,0.737887469,4,high,5,0.513237619,0,181.098709,1
engineering,0,0.766155209,4,medium,7,0.308420128,1,184.6947454,0
operations,0,0.729893181,4,low,6,0.293091838,1,182.9400969,0
IT,0,0.643448895,4,medium,5,0.614556694,0,180.2701505,0
IT,0,0.748715894,3,medium,8,0.302224658,1,187.9203753,1
engineering,0,0.641452709,3,medium,8,0.436794385,0,188.3900848,1
retail,0,0.624587675,4,medium,5,0.688282574,0,178.6912939,0
retail,0,0.564901063,3,medium,7,0.674684066,1,185.9197433,0
admin,1,0.637841506,3,medium,5,0.58286545,1,179.5728793,0
engineering,0,0.652393328,2,medium,7,0.343628583,1,186.7552792,0
retail,0,0.504638207,3,low,8,0.375558407,1,187.7802758,0
sales,0,0.666771832,4,medium,5,0.626754012,0,180.1073911,0
operations,1,0.652723855,3,low,7,0.455244599,0,185.0901186,0
sales,0,0.753665641,4,low,5,0.539611713,0,180.9039773,1
engineering,0,0.650928773,3,medium,9,0.589113158,0,192.9023199,0
retail,0,0.662026538,3,medium,6,0.632381295,0,182.6625059,0
IT,0,0.50142556,2,medium,7,0.670514993,0,185.9985954,1
engineering,0,0.65818817,3,medium,8,0.720289001,1,187.9684242,1
engineering,0,0.686120546,3,medium,8,0.419674273,0,189.9122223,0
sales,0,0.636723431,3,medium,7,0.470288669,0,187.3685409,1
IT,0,0.737069629,3,low,5,0.584582072,0,179.4259436,1
support,1,0.7306503,3,medium,9,0.597605372,0,193.3767195,0
finance,0,0.55503807,4,medium,5,0.74001418,1,180.6305701,0
sales,0,0.716646301,4,medium,5,0.462158596,0,179.8513836,0
marketing,0,0.456833864,3,medium,7,0.771130467,0,186.0199604,1
admin,0,0.786899004,3,high,9,0.512862119,0,191.6410843,0
logistics,0,0.659560737,3,medium,6,0.604423076,0,182.1199688,0
logistics,0,0.80749505,3,medium,5,0.095966062,0,180.239345,0
engineering,0,0.560545468,4,medium,6,0.5995061,0,182.2686023,0
retail,0,0.6812274,3,medium,6,0.619212078,0,182.4629165,0
sales,0,0.673757358,3,medium,8,0.405225572,0,188.5749192,0
sales,0,0.572672458,4,medium,6,0.680890812,1,182.8650999,0
marketing,0,0.614127516,4,medium,7,0.731494659,0,187.1149521,1
admin,0,0.619623141,3,high,8,0.435521024,0,190.4198912,0
sales,0,0.653021771,4,high,6,0.605455037,0,183.7267373,0
engineering,0,0.565413438,4,high,9,0.469712105,0,192.0546109,0
marketing,0,0.592766294,4,medium,8,0.584919269,1,187.5482511,1
admin,0,0.609869422,4,low,5,0.651258019,0,181.4045633,0
sales,0,0.537185235,4,high,6,0.735387874,0,182.7495886,0
support,0,0.613593742,4,low,6,0.338579912,1,184.2449186,0
sales,0,0.598330901,3,low,7,0.363696231,0,185.1055123,0
sales,0,0.546783344,4,high,7,0.201591846,0,185.2716533,0
sales,0,0.590956171,3,medium,6,0.708186802,1,181.7819719,0
IT,0,0.66031786,3,medium,6,0.296307435,0,183.8102872,0
operations,0,0.676480843,3,medium,9,0.498721244,0,190.8987415,0
operations,0,0.629688848,4,medium,7,0.710073669,1,186.7562119,1
retail,0,0.582266038,3,low,4,0.733394732,0,177.534501,0
sales,0,0.624396587,3,medium,6,0.538062824,0,183.2911607,1
logistics,0,0.548382472,4,high,8,0.400671093,0,189.2848031,0
admin,0,0.901720272,2,medium,8,0.524450883,1,190.0883214,1
admin,0,0.615783669,3,medium,4,0.817373258,1,176.8892079,0
sales,0,0.577625728,4,low,5,0.717014141,0,180.5143894,0
operations,0,0.627511016,4,medium,5,0.580627676,0,180.0939948,0
engineering,0,0.626857725,2,medium,7,0.615690587,0,186.9745462,1
operations,0,0.673032807,4,high,7,0.533331022,1,184.9059944,0
operations,0,0.744000718,3,medium,8,0.513236155,0,188.6607791,1
operations,0,0.690344071,3,medium,6,0.552023403,0,182.0149804,0
retail,0,0.625418132,4,high,8,0.426973831,0,188.4987836,1
operations,0,0.68289263,3,medium,8,0.201900185,0,189.0862352,0
engineering,0,0.906010563,3,medium,4,0.402424958,0,175.8483703,1
operations,0,0.77700696,3,low,7,0.419182426,1,185.0729015,0
retail,0,0.712818241,3,medium,6,0.358379885,0,184.4164504,1
sales,0,0.750458571,3,medium,8,0.57356382,0,188.4991644,1
retail,0,0.726812877,3,high,6,0.435662673,1,182.5997424,0
sales,0,0.70549038,3,medium,5,0.504252754,0,181.2287863,0
engineering,0,0.676964211,3,medium,6,0.24823239,0,182.5205519,0
sales,1,0.644039924,4,medium,8,0.521899851,1,188.218215,0
